 ,Area,Min,Max,Median,Slice
1,50,13486,13704,13632,185
2,50,13576,13730,13663,186
3,50,13560,13753,13649,187
4,50,13587,13740,13673,188
5,50,13580,13756,13690,189
6,50,13556,13737,13675,190
7,50,13555,13739,13670,191
8,50,13570,13738,13678,192
9,50,13582,13749,13694,193
10,50,13566,13745,13672,194
11,50,13574,13737,13663,195
12,50,13536,13709,13617,196
13,50,13563,13716,13647,197
14,50,13548,13720,13641,198
15,50,13557,13733,13657,199
16,50,13521,13718,13627,200
17,50,13498,13693,13602,201
18,50,13507,13713,13603,202
19,50,13484,13696,13593,203
20,50,13513,13690,13600,204
21,50,13495,13660,13607,205
22,50,13601,13914,13763,210
23,50,13634,13930,13756,244
24,50,13643,13943,13783,245
25,50,13627,13914,13750,246
26,50,13649,13895,13766,247
27,50,13617,13866,13745,248
28,50,13658,13939,13783,249
29,50,13610,13914,13736,250
30,50,13604,13891,13738,251
31,50,13628,13894,13747,252
32,50,13614,13886,13737,253
33,50,13593,13834,13741,254
34,50,13584,13869,13735,255
35,50,13600,13881,13727,256
36,50,13634,13918,13749,272
37,50,13606,13878,13738,273
38,50,13624,13966,13767,274
39,50,13628,13914,13765,275
40,50,13631,13912,13772,276
41,50,13621,13904,13757,277
42,50,13638,13893,13754,278
43,50,13589,13882,13750,279
44,50,13629,13925,13769,280
45,50,13633,13946,13767,281
46,50,13626,13931,13766,282
47,50,13610,13872,13753,283
48,50,13608,13923,13757,284
49,50,13626,13929,13769,285
50,50,13571,13926,13750,286
51,50,13540,13854,13732,287
52,50,13535,13837,13709,288
53,50,13402,13765,13667,289
54,50,13550,13842,13719,290
55,50,13557,13868,13716,291
56,50,13548,13858,13716,292
57,50,13549,13859,13713,293
58,50,13527,13819,13713,294
59,50,13556,13840,13698,295
60,50,13588,13841,13712,296
61,50,13551,13841,13709,297
62,50,13576,13881,13737,298
63,50,13514,13821,13707,299
64,50,13563,13862,13708,300
65,50,13511,13830,13709,301
66,50,13539,13850,13720,302
67,50,13537,13832,13724,303
68,50,13571,13812,13720,304
69,50,13534,13814,13682,305
70,50,13550,13812,13699,306
71,50,13545,13847,13715,307
72,50,13582,13855,13685,309
73,50,13559,13819,13723,310
74,50,13539,13810,13709,311
75,50,13587,13798,13718,312
76,50,13551,13814,13722,313
77,50,13590,13803,13734,314
78,50,13606,13810,13742,315
79,50,13584,13815,13742,316
80,50,13603,13846,13747,317
81,50,13586,13830,13751,318
82,50,13571,13842,13736,319
83,50,13574,13837,13756,320
84,50,13579,13834,13748,321
85,50,13577,13828,13743,322
86,50,13542,13830,13731,323
87,50,13542,13827,13742,324
88,50,13525,13831,13754,325
89,50,13566,13839,13753,326
90,50,13612,13841,13783,327
91,50,13640,13839,13790,328
92,50,13601,13858,13774,329
93,50,13589,13839,13770,330
94,50,13660,13845,13786,331
95,50,13658,13845,13803,332
96,50,13641,13862,13802,333
97,50,13628,13841,13794,334
98,50,13612,13850,13783,335
99,50,13642,13834,13790,336
100,50,13624,13835,13789,337
101,50,13661,13826,13785,338
102,50,13647,13815,13773,339
103,50,13581,13799,13745,340
104,50,13577,13809,13758,341
105,50,13577,13804,13755,342
106,50,13578,13796,13751,343
107,50,13545,13809,13743,344
108,50,13581,13805,13740,345
109,50,13575,13795,13734,346
110,50,13573,13832,13766,347
111,50,13663,13852,13780,348
112,50,13651,13856,13785,349
113,50,13655,13844,13794,350
114,50,13643,13858,13793,351
115,50,13657,13860,13809,352
116,50,13662,13870,13814,353
117,50,13662,13872,13826,354
118,50,13630,13881,13816,355
119,50,13645,13877,13815,356
120,50,13628,13881,13812,357
121,50,13646,13872,13800,358
122,50,13619,13867,13807,359
123,50,13614,13872,13805,360
124,50,13592,13862,13794,361
125,50,13593,13872,13785,362
126,50,13572,13867,13763,363
127,50,13550,13851,13730,364
128,50,13620,13847,13767,365
129,50,13587,13825,13743,366
130,50,13592,13828,13747,367
131,50,13617,13837,13767,368
132,50,13603,13809,13757,369
133,50,13533,13779,13753,370
134,50,13552,13790,13727,371
135,50,13555,13792,13680,373
136,50,13563,13818,13683,374
137,50,13531,13807,13687,375
138,50,13525,13789,13684,376
139,50,13546,13817,13703,377
140,50,13554,13838,13704,378
141,50,13549,13850,13704,379
142,50,13545,13865,13693,380
143,50,13518,13865,13690,381
144,50,13584,13893,13791,382
145,50,13542,13940,13769,383
146,50,13612,13913,13798,384
147,50,13600,13916,13783,385
148,50,13584,13908,13759,386
149,50,13589,13904,13760,387
150,50,13587,13895,13773,388
151,50,13591,13903,13761,389
152,50,13591,13917,13761,390
153,50,13573,13905,13741,391
154,50,13560,13897,13746,392
155,50,13624,13917,13813,393
156,50,13637,13922,13829,394
157,50,13652,13933,13853,395
158,50,13636,13941,13765,396
159,50,13629,13918,13774,397
160,50,13697,13956,13877,398
161,50,13637,13924,13773,399
162,50,13615,13917,13782,400
163,50,13624,13915,13794,401
164,50,13613,13882,13774,402
165,50,13603,13894,13748,403
166,50,13568,13901,13725,404
167,50,13565,13850,13735,405
168,50,13559,13860,13737,406
169,50,13555,13854,13711,407
170,50,13532,13860,13708,408
171,50,13524,13855,13703,409
172,50,13578,13852,13713,410
173,50,13578,13874,13721,411
174,50,13584,13874,13723,412
175,50,13589,13886,13748,413
176,50,13612,13903,13761,414
177,50,13568,13877,13720,415
178,50,13533,13849,13722,416
179,50,13522,13828,13719,417
180,50,13550,13835,13731,418
181,50,13550,13875,13783,419
182,50,13564,13869,13780,420
183,50,13569,13935,13828,421
184,50,13579,13876,13816,422
185,50,13616,13911,13775,423
186,50,13666,13924,13855,424
187,50,13594,13908,13785,425
188,50,13631,13956,13769,426
189,50,13597,13917,13774,427
190,50,13618,13900,13767,428
191,50,13653,13946,13813,429
192,50,13636,13935,13763,430
193,50,13637,13920,13802,431
194,50,13624,13907,13790,432
195,50,13633,13902,13804,433
196,50,13629,13936,13786,434
197,50,13632,13918,13826,435
198,50,13615,13914,13751,436
199,50,13628,13911,13812,437
200,50,13599,13907,13745,438
201,50,13609,13914,13739,439
202,50,13591,13906,13735,440
203,50,13607,13898,13729,441
204,50,13581,13921,13754,442
205,50,13587,13903,13792,443
206,50,13642,13896,13756,444
207,50,13615,13888,13743,445
208,50,13603,13872,13724,446
209,50,13526,13836,13684,447
210,50,13488,13842,13667,448
211,50,13477,13807,13626,449
212,50,13427,13691,13520,450
213,50,13441,13672,13511,451
214,50,13421,13681,13524,452
215,50,13416,13692,13511,453
216,50,13434,13728,13510,454
217,50,13410,13657,13495,455
218,50,13409,13746,13502,456
219,50,13401,13700,13504,457
220,50,13405,13737,13534,458
221,50,13404,13739,13521,459
222,50,13408,13669,13488,460
223,50,13387,13758,13518,461
224,50,13379,13742,13512,462
225,50,13383,13741,13518,463
226,50,13397,13755,13588,464
227,50,13382,13736,13519,465
228,50,13412,13751,13519,466
229,50,13422,13750,13551,467
230,50,13426,13772,13516,468
231,50,13423,13755,13510,469
232,50,13470,13812,13640,470
233,50,13532,13830,13720,471
234,50,13413,13790,13577,472
235,50,13467,13818,13645,473
236,50,13465,13796,13637,474
237,50,13469,13810,13624,475
238,50,13439,13807,13604,476
239,50,13453,13824,13613,477
240,50,13457,13806,13621,478
241,50,13438,13743,13532,479
242,50,13440,13782,13604,480
243,50,13467,13784,13603,481
244,50,13426,13774,13601,482
245,50,13458,13835,13616,483
246,50,13463,13836,13648,484
247,50,13449,13832,13613,485
248,50,13456,13813,13604,486
249,50,13445,13765,13565,487
250,50,13463,13784,13563,488
251,50,13460,13823,13587,489
252,50,13445,13763,13565,490
253,50,13449,13823,13580,491
254,50,13462,13819,13593,492
255,50,13475,13812,13620,493
256,50,13490,13824,13606,494
257,50,13499,13833,13623,495
258,50,13495,13813,13613,496
259,50,13484,13849,13632,497
260,50,13482,13850,13644,498
261,50,13488,13840,13643,499
262,50,13477,13842,13643,500
263,50,13472,13818,13638,501
264,50,13452,13800,13603,502
265,50,13423,13777,13570,503
266,50,13413,13777,13570,504
267,50,13402,13777,13553,505
268,50,13393,13785,13583,506
269,50,13444,13793,13631,507
270,50,13433,13773,13611,508
271,50,13398,13766,13570,509
272,50,13407,13775,13607,510
273,50,13422,13810,13625,511
274,50,13433,13814,13665,512
275,50,13454,13809,13672,513
276,50,13435,13797,13600,514
277,50,13431,13786,13618,515
278,50,13460,13807,13632,516
279,50,13509,13859,13721,517
280,50,13524,13840,13701,518
281,50,13536,13858,13694,519
282,50,13494,13870,13671,520
283,50,13444,13829,13650,521
284,50,13436,13827,13637,522
285,50,13453,13799,13647,523
286,50,13419,13795,13649,524
287,50,13415,13806,13625,525
288,50,13411,13793,13610,526
289,50,13449,13781,13628,527
290,50,13462,13780,13609,528
291,50,13443,13775,13592,529
292,50,13419,13761,13561,530
293,50,13372,13767,13569,531
294,50,13390,13790,13582,532
295,50,13396,13763,13569,533
296,50,13408,13785,13584,534
297,50,13421,13787,13565,535
298,50,13437,13780,13621,536
299,50,13423,13777,13548,537
300,50,13442,13802,13561,538
301,50,13473,13814,13633,539
302,50,13453,13823,13625,540
303,50,13461,13828,13588,541
304,50,13512,13825,13650,542
305,50,13502,13809,13616,543
306,50,13499,13812,13635,544
307,50,13483,13817,13614,545
308,50,13481,13811,13636,546
309,50,13488,13858,13634,547
310,50,13483,13846,13628,548
311,50,13575,13869,13789,549
312,50,13597,13867,13804,550
313,50,13612,13872,13795,551
314,50,13576,13872,13779,552
315,50,13552,13870,13760,553
316,50,13583,13885,13799,554
317,50,13546,13839,13690,555
318,50,13552,13857,13713,556
319,50,13508,13840,13646,557
320,50,13503,13843,13659,558
321,50,13472,13820,13582,559
322,50,13557,13852,13737,560
323,50,13575,13827,13736,561
324,50,13639,13874,13779,562
325,50,13593,13836,13773,563
326,50,13627,13832,13780,564
327,50,13548,13807,13740,565
328,50,13532,13805,13738,566
329,50,13532,13797,13713,567
330,50,13525,13794,13709,568
331,50,13494,13779,13673,569
332,50,13487,13780,13672,570
333,50,13486,13775,13679,571
334,50,13491,13770,13678,572
335,50,13467,13767,13673,573
336,50,13506,13762,13675,574
337,50,13478,13750,13672,575
338,50,13471,13751,13660,576
339,50,13491,13752,13687,577
340,50,13515,13753,13702,578
341,50,13482,13755,13678,579
342,50,13555,13767,13711,580
343,50,13478,13776,13675,581
344,50,13561,13790,13712,582
345,50,13569,13797,13715,583
346,50,13578,13813,13731,584
347,50,13571,13812,13723,585
348,50,13530,13812,13729,586
349,50,13563,13824,13754,587
350,50,13542,13812,13749,588
351,50,13546,13822,13737,589
352,50,13532,13829,13727,590
353,50,13550,13824,13720,591
354,50,13575,13835,13728,592
355,50,13537,13840,13708,593
356,50,13580,13852,13757,594
357,50,13572,13859,13749,595
358,50,13590,13847,13781,596
359,50,13578,13841,13742,597
360,50,13573,13838,13775,598
361,50,13559,13844,13773,599
362,50,13562,13840,13785,600
363,50,13544,13842,13779,601
364,50,13571,13845,13773,602
365,50,13648,13853,13806,603
366,50,13638,13830,13787,604
367,50,13625,13833,13787,605
368,50,13580,13832,13766,606
369,50,13559,13825,13739,607
370,50,13588,13839,13746,608
371,50,13611,13820,13778,609
372,50,13585,13809,13744,610
373,50,13601,13806,13757,611
374,50,13557,13814,13755,612
375,50,13552,13810,13747,613
376,50,13548,13802,13737,614
377,50,13512,13809,13713,615
378,50,13514,13771,13716,616
379,50,13527,13765,13701,617
380,50,13531,13772,13709,618
381,50,13513,13776,13702,619
382,50,13498,13756,13702,620
383,50,13502,13757,13690,621
384,50,13453,13769,13662,622
385,50,13453,13762,13639,623
386,50,13460,13748,13641,624
387,50,13481,13757,13652,625
388,50,13472,13762,13638,626
389,50,13476,13746,13654,627
390,50,13466,13768,13639,628
391,50,13488,13777,13654,629
392,50,13506,13799,13663,630
393,50,13523,13806,13704,631
394,50,13524,13814,13727,632
395,50,13550,13833,13728,633
396,50,13525,13819,13725,634
397,50,13521,13820,13724,635
398,50,13525,13824,13737,636
399,50,13527,13824,13744,637
400,50,13540,13826,13737,638
401,50,13559,13812,13740,639
402,50,13569,13833,13752,640
403,50,13576,13826,13735,641
404,50,13561,13826,13729,642
405,50,13578,13832,13751,643
406,50,13553,13834,13705,644
407,50,13546,13844,13717,645
408,50,13562,13845,13740,646
409,50,13569,13847,13755,647
410,50,13577,13843,13763,648
411,50,13591,13839,13772,649
412,50,13608,13850,13778,650
413,50,13605,13852,13796,651
414,50,13593,13837,13784,652
415,50,13566,13837,13753,653
416,50,13613,13850,13787,654
417,50,13606,13855,13777,655
418,50,13583,13850,13766,656
419,50,13590,13846,13763,657
420,50,13599,13830,13765,658
421,50,13587,13830,13776,659
422,50,13586,13839,13773,660
423,50,13575,13833,13771,661
424,50,13589,13824,13770,662
425,50,13578,13843,13767,663
426,50,13579,13826,13769,664
427,50,13586,13825,13773,665
428,50,13621,13824,13788,666
429,50,13583,13837,13760,667
430,50,13589,13845,13771,668
431,50,13578,13831,13760,669
432,50,13563,13820,13745,670
433,50,13554,13795,13737,671
434,50,13537,13805,13725,672
435,50,13536,13795,13693,673
436,50,13447,13781,13673,674
437,50,13440,13782,13668,675
438,50,13543,13798,13713,676
439,50,13518,13793,13692,677
440,50,13531,13788,13721,678
441,50,13532,13778,13721,679
442,50,13561,13800,13736,680
443,50,13556,13820,13739,681
444,50,13603,13837,13780,682
445,50,13554,13834,13760,683
446,50,13548,13837,13743,684
447,50,13540,13873,13736,685
448,50,13622,13855,13797,686
449,50,13573,13874,13763,687
450,50,13608,13870,13785,688
451,50,13618,13870,13776,689
452,50,13612,13885,13799,690
453,50,13602,13875,13794,691
454,50,13609,13883,13810,692
455,50,13563,13872,13786,693
456,50,13577,13873,13800,694
457,50,13601,13871,13815,695
458,50,13617,13856,13799,696
459,50,13640,13855,13810,697
460,50,13591,13857,13770,698
461,50,13565,13833,13753,699
462,50,13555,13827,13722,700
463,50,13523,13807,13720,701
464,50,13527,13796,13715,702
465,50,13514,13799,13712,703
466,50,13509,13811,13694,704
467,50,13500,13799,13692,705
468,50,13491,13783,13673,706
469,50,13479,13788,13676,707
470,50,13511,13774,13673,708
471,50,13498,13779,13665,709
472,50,13508,13785,13681,710
473,50,13526,13798,13717,711
474,50,13519,13795,13710,712
475,50,13525,13809,13711,713
476,50,13537,13857,13729,714
477,50,13531,13838,13720,715
478,50,13530,13852,13721,716
479,50,13560,13864,13752,717
480,50,13564,13846,13768,718
481,50,13563,13859,13738,719
482,50,13572,13858,13730,720
483,50,13556,13855,13745,721
484,50,13590,13853,13788,722
485,50,13587,13872,13797,723
486,50,13593,13870,13796,724
487,50,13600,13859,13771,725
488,50,13596,13860,13757,726
489,50,13617,13868,13789,727
490,50,13619,13880,13778,728
491,50,13621,13864,13811,729
492,50,13607,13869,13789,730
493,50,13586,13876,13774,731
494,50,13572,13878,13784,732
495,50,13568,13865,13768,733
496,50,13596,13875,13753,734
497,50,13529,13858,13733,735
498,50,13563,13861,13743,736
499,50,13589,13875,13769,737
500,50,13610,13882,13784,738
501,50,13612,13887,13792,739
502,50,13615,13885,13796,740
503,50,13608,13898,13796,741
504,50,13605,13890,13783,742
505,50,13592,13888,13778,743
506,50,13606,13914,13787,744
507,50,13559,13914,13759,745
508,50,13601,13933,13807,746
509,50,13554,13885,13801,747
510,50,13527,13854,13755,748
511,50,13560,13843,13772,749
512,50,13521,13864,13761,750
513,50,13592,13857,13786,751
514,50,13602,13855,13777,752
515,50,13614,13855,13774,753
516,50,13660,13845,13781,754
517,50,13591,13845,13789,755
518,50,13671,13874,13834,756
519,50,13693,13910,13831,757
520,50,13597,13939,13802,758
521,50,13721,13922,13855,759
522,50,13702,13955,13858,760
523,50,13581,13948,13838,761
524,50,13661,13924,13852,762
525,50,13689,13960,13866,763
526,50,13713,13957,13877,764
527,50,13738,13939,13903,765
528,50,13686,13935,13888,766
529,50,13683,13943,13882,767
530,50,13688,13948,13885,768
531,50,13658,13931,13881,769
532,50,13621,13920,13854,770
533,50,13643,13925,13868,771
534,50,13725,13909,13867,772
535,50,13620,13902,13845,773
536,50,13605,13883,13836,774
537,50,13621,13880,13831,775
538,50,13605,13888,13801,776
539,50,13624,13885,13806,777
540,50,13592,13878,13809,778
541,50,13654,13880,13809,779
542,50,13607,13880,13806,780
543,50,13582,13889,13817,781
544,50,13581,13875,13803,782
545,50,13584,13872,13807,783
546,50,13593,13889,13795,784
547,50,13614,13894,13800,785
548,50,13646,13902,13810,786
549,50,13606,13919,13814,787
550,50,13592,13913,13828,788
551,50,13631,13931,13832,789
552,50,13615,13935,13829,790
553,50,13601,13943,13847,791
554,50,13681,13936,13857,792
555,50,13622,13928,13846,793
556,50,13683,13940,13868,794
557,50,13673,13968,13873,795
558,50,13701,13960,13860,796
559,50,13680,13950,13859,797
560,50,13688,13970,13864,798
561,50,13687,13963,13873,799
562,50,13719,13966,13883,800
563,50,13715,13966,13880,801
564,50,13723,13967,13880,802
565,50,13701,13972,13880,803
566,50,13680,13982,13868,804
567,50,13652,13969,13861,805
568,50,13648,13961,13863,806
569,50,13631,13965,13860,807
570,50,13688,13957,13893,808
571,50,13661,13948,13869,809
572,50,13646,13960,13868,810
573,50,13661,13971,13865,811
574,50,13676,13969,13882,812
575,50,13672,13973,13888,813
576,50,13672,13976,13847,814
577,50,13663,13967,13870,815
578,50,13667,13962,13900,816
579,50,13644,13962,13866,817
580,50,13644,13957,13842,818
581,50,13684,13960,13888,819
582,50,13660,13954,13874,820
583,50,13713,13819,13750,821
584,50,13663,13825,13760,947
585,50,13554,13793,13709,948
586,50,13391,13736,13535,949
587,50,13376,13714,13517,950
588,50,13378,13826,13613,951
589,50,13419,13857,13624,952
590,50,13423,13856,13645,953
591,50,13430,13861,13649,954
592,50,13449,13885,13666,955
593,50,13485,13893,13678,956
594,50,13422,13869,13686,957
595,50,13458,13841,13686,958
596,50,13481,13898,13705,959
597,50,13468,13778,13657,960
598,50,13460,13759,13606,961
599,50,13453,13827,13652,962
600,50,13481,13890,13673,963
601,50,13525,13935,13718,964
602,50,13537,13920,13708,965
603,50,13519,13807,13674,966
604,50,13520,13864,13687,967
605,50,13537,13879,13708,968
606,50,13556,13945,13721,969
607,50,13536,13934,13709,970
608,50,13512,13926,13698,971
609,50,13499,13896,13681,972
610,50,13492,13833,13666,973
611,50,13507,13880,13672,974
612,50,13580,13893,13761,975
613,50,13691,13877,13773,976
614,50,13548,13852,13697,977
615,50,13632,13920,13778,978
616,50,13633,13920,13763,979
617,50,13633,13944,13794,980
618,50,13660,13956,13777,981
619,50,13710,13987,13856,982
620,50,13706,13979,13886,983
621,50,13717,13978,13861,984
622,50,13720,14018,13920,985
623,50,13692,14007,13855,986
624,50,13701,14004,13863,987
625,50,13748,13980,13910,988
626,50,13730,13981,13913,989
627,50,13730,14021,13920,990
628,50,13702,14001,13884,991
629,50,13716,13995,13864,992
630,50,13674,13994,13826,993
631,50,13683,14015,13847,994
632,50,13701,13994,13850,995
633,50,13699,13997,13846,996
634,50,13729,13999,13895,997
635,50,13708,13987,13851,998
636,50,13731,13986,13873,999
637,50,13709,13988,13868,1000
638,50,13687,13962,13848,1001
639,50,13668,13954,13804,1002
640,50,13683,13941,13808,1003
641,50,13655,13947,13812,1004
642,50,13650,13937,13763,1005
643,50,13656,13940,13807,1006
644,50,13510,13767,13671,1010
645,50,13625,13808,13735,1012
646,50,13640,13783,13734,1013
647,50,13623,13801,13754,1014
648,50,13607,13825,13748,1015
649,50,13533,13796,13741,1016
650,50,13567,13801,13735,1017
651,50,13563,13823,13757,1018
652,50,13631,13827,13761,1019
653,50,13625,13817,13758,1020
654,50,13686,13820,13774,1021
655,50,13623,13809,13760,1022
656,50,13631,13817,13780,1023
657,50,13523,13806,13775,1024
658,50,13554,13847,13780,1025
659,50,13728,13854,13801,1027
660,50,13610,13832,13734,1028
661,50,13581,13849,13753,1029
662,50,13576,13812,13766,1030
663,50,13578,13851,13766,1031
664,50,13594,13842,13780,1032
665,50,13623,13853,13780,1033
666,50,13607,13850,13771,1034
667,50,13650,13851,13782,1035
668,50,13550,13859,13766,1036
669,50,13584,13858,13771,1037
670,50,13584,13863,13789,1038
671,50,13710,13888,13820,1039
672,50,13641,13890,13825,1040
673,50,13662,13890,13834,1041
674,50,13640,13880,13834,1042
675,50,13614,13883,13833,1043
676,50,13691,13895,13847,1044
677,50,13631,13932,13838,1045
678,50,13591,13898,13802,1046
679,50,13593,13908,13793,1047
680,50,13612,13904,13794,1048
681,50,13617,13905,13811,1049
682,50,13648,13912,13845,1050
683,50,13640,13908,13847,1051
684,50,13616,13908,13828,1052
685,50,13628,13914,13800,1053
686,50,13635,13904,13853,1054
687,50,13642,13920,13814,1055
688,50,13620,13911,13817,1056
689,50,13662,13926,13861,1057
690,50,13679,13929,13867,1058
691,50,13663,13931,13863,1059
692,50,13658,13914,13858,1060
693,50,13677,13925,13855,1061
694,50,13678,13935,13869,1062
695,50,13689,13926,13877,1063
696,50,13685,13911,13849,1064
697,50,13649,13923,13852,1065
698,50,13607,13890,13786,1066
699,50,13586,13912,13813,1067
700,50,13586,13902,13797,1068
701,50,13622,13902,13831,1069
702,50,13624,13903,13789,1070
703,50,13556,13882,13745,1071
704,50,13550,13882,13741,1072
705,50,13496,13861,13677,1073
706,50,13549,13880,13727,1074
707,50,13559,13877,13787,1075
708,50,13559,13863,13754,1076
709,50,13530,13889,13738,1077
710,50,13548,13886,13763,1078
711,50,13549,13886,13748,1079
712,50,13612,13903,13820,1080
713,50,13580,13908,13791,1081
714,50,13560,13915,13772,1082
715,50,13573,13918,13803,1083
716,50,13532,13935,13769,1084
717,50,13540,13917,13777,1085
718,50,13550,13930,13758,1086
719,50,13540,13917,13752,1087
720,50,13561,13924,13763,1088
721,50,13542,13923,13761,1089
722,50,13602,13917,13810,1090
723,50,13620,13926,13814,1091
724,50,13598,13926,13768,1092
725,50,13607,13927,13815,1093
726,50,13586,13928,13785,1094
727,50,13622,13936,13781,1095
728,50,13623,13921,13781,1096
729,50,13624,13939,13802,1097
730,50,13637,13933,13821,1098
731,50,13603,13929,13808,1099
732,50,13609,13918,13810,1100
733,50,13597,13930,13815,1101
734,50,13645,13914,13843,1102
735,50,13616,13911,13829,1103
736,50,13636,13932,13812,1104
737,50,13638,13924,13835,1105
738,50,13625,13919,13813,1106
739,50,13639,13919,13813,1107
740,50,13603,13909,13807,1108
741,50,13580,13904,13767,1109
742,50,13578,13878,13793,1110
743,50,13568,13860,13786,1111
744,50,13578,13865,13787,1112
745,50,13572,13865,13775,1113
