#,label,duration,start time,end time,rms,peak freq(meanentire),fundamental(meanentire),max freq(meanentire),entropy(meanentire),hnr(meanentire),filename
111,nf,0.2486,123.1726,123.4213,-48.48,101,96,227,0.094,24.66,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
112,nf,0.2446,124.4726,124.7173,-49.55,98,95,239,0.093,26.2,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
113,nf,0.1466,125.5646,125.7113,-45.81,95,95,235,0.089,26.9,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
114,nf,0.1773,128.646,128.8233,-48.83,98,98,321,0.13,29.98,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
115,nf,0.2846,133.6733,133.958,-46.68,98,98,236,0.104,28.36,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
116,nf,0.49,135.2866,135.7766,-50.28,116,107,241,0.09,27.13,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
117,nf,0.124,136.1699,136.294,-47.78,100,99,237,0.103,25.99,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
118,nf,0.3693,137.1933,137.5626,-48.93,94,95,207,0.085,25.11,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
119,nf,0.5746,141.7186,142.2933,-50.4,110,110,254,0.091,27.77,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
120,nf,0.0613,142.5733,142.6346,-50.27,167,136,313,0.11,33.36,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
121,nf,0.066,142.9966,143.0626,-52.59,93,93,240,0.103,31.24,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
122,nf,0.1906,143.5406,143.7313,-52.7,133,121,289,0.11,29.16,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
123,nf,0.1866,144.0266,144.2133,-49.77,106,106,213,0.095,28.96,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
124,nf,0.218,145.9566,146.1746,-48.26,93,93,233,0.088,27.44,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
125,nf,0.2,146.688,146.888,-49.51,94,94,222,0.096,27.84,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
126,SN,0.0566,148.508,148.5646,-49.76,721,629,962,0.176,34.07,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
127,nf,0.178,148.6346,148.8126,-50.45,93,93,240,0.086,29.29,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
128,nf,0.2673,149.3166,149.584,-52.85,94,94,235,0.093,29.33,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
129,nf,0.1906,150.5833,150.774,-51.22,115,109,254,0.096,27.52,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
130,nf,0.1513,150.9753,151.1266,-53.88,172,170,316,0.114,29.37,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
131,nf,0.1153,151.7333,151.8486,-44.38,94,94,220,0.084,27.85,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
132,SN,0.0206,153.2906,153.3113,-44.46,93,93,240,0.114,28.95,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
133,SN,0.0306,153.4013,153.432,-48.62,284,232,456,0.143,31,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
134,nf,0.2666,155.7133,155.98,-43.43,101,101,217,0.104,28.8,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
135,nf,0.2086,156.6893,156.898,-40.64,94,94,243,0.084,30.27,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
136,nf,0.298,158.5353,158.8333,-48.3,97,96,239,0.098,28.07,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
137,nf,0.0526,159.846,159.8986,-53.53,93,93,268,0.105,32.13,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
138,nf,0.1506,160.366,160.5166,-52.54,115,93,260,0.098,28.03,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
139,nf,0.1506,161.2846,161.4353,-53.91,93,93,250,0.092,29.03,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
140,nf,0.2,163.6473,163.8473,-53.98,93,93,251,0.099,28.07,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
141,SN,0.054,164.078,164.132,-46.66,679,617,874,0.136,34.97,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
142,SN,0.0373,164.2186,164.256,-49.76,426,366,628,0.148,31.6,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
143,nf,0.044,165.3106,165.3546,-52.99,93,93,260,0.096,33.72,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
144,SN,0.0666,166.2519,166.3186,-51.89,447,425,608,0.148,32.59,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
145,SN,0.048,166.356,166.404,-51.1,661,554,910,0.189,26.22,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
146,nf,0.0526,167.5266,167.5793,-45.91,93,93,248,0.094,29.25,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
147,nf,0.044,170.5613,170.6053,-50.23,96,96,239,0.095,29.07,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
148,nf,0.0573,170.882,170.9393,-56.81,93,93,271,0.107,34.24,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
149,nf,0.0353,172.4113,172.4466,-48.66,93,93,302,0.096,29.39,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
150,nf,0.28,173.9033,174.1833,-52.85,113,96,255,0.101,28.41,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
151,nf,0.1773,174.8886,175.066,-48.15,120,120,268,0.093,28.02,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
152,nf,0.3113,176.128,176.4393,-52.14,197,173,332,0.101,29.8,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
153,nf,0.1553,178.5446,178.7,-55.43,144,145,313,0.114,30.69,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
154,nf,0.494,179.102,179.596,-54.33,113,111,270,0.101,28.19,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
155,SN,0.0666,179.83,179.8966,-50,215,215,388,0.127,33.8,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
156,SN,0.0533,179.9466,180,-52.06,791,752,969,0.132,40.19,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
157,nf,0.1733,180.2,180.3733,-55.71,93,93,274,0.103,25.64,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
158,nf,0.1733,181.292,181.4653,-53.53,128,127,267,0.112,33.29,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
159,nf,0.1773,182.104,182.2813,-55.38,100,100,244,0.103,29.04,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
160,SN,0.1153,182.8079,182.9233,-52.9,253,197,422,0.133,33.24,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
161,SN,0.0666,183.0126,183.0793,-53.76,93,93,274,0.112,33.92,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
162,SN,0.048,183.1246,183.1726,-53.26,297,286,491,0.151,33.71,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
163,nf,0.32,183.268,183.588,-51.62,124,117,236,0.109,26.29,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
164,nf,0.1773,184.0973,184.2746,-47.97,120,120,259,0.1,29.16,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
165,SN,0.1026,184.4173,184.52,-50.86,284,299,439,0.149,37.24,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
166,SN,0.0406,184.584,184.6246,-48.43,462,480,672,0.143,36.34,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
167,nf,0.0753,185.0673,185.1426,-50.38,116,117,274,0.11,29.07,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
168,nf,0.044,185.3393,185.3833,-55.99,93,93,313,0.168,33.03,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
169,nf,0.4273,185.5533,185.9806,-53.93,154,145,318,0.124,34.11,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
170,nf,0.6006,186.276,186.8766,-52.23,186,177,353,0.11,31.12,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
171,nf,0.044,187.0646,187.1086,-51.44,97,97,274,0.105,28.04,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
172,nf,0.178,187.35,187.528,-49.48,101,101,250,0.094,28.57,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
173,SN,0.044,187.802,187.846,-48.55,491,501,699,0.144,35,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
174,SN,0.0466,189.0493,189.096,-48.72,372,380,545,0.138,33.32,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
175,SN,0.0433,189.182,189.2253,-45.56,268,247,416,0.127,31.21,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
176,SN,0.05,189.6266,189.6766,-50.15,581,532,830,0.162,30.87,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
177,SN,0.0413,189.8953,189.9366,-50.3,389,356,604,0.136,31.52,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
178,nf,0.432,190.4513,190.8833,-51.84,94,94,217,0.097,28.59,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
179,nf,0.066,191.1113,191.1773,-56.9,430,401,619,0.127,31.18,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
180,nf,0.0353,191.6193,191.6546,-53.88,246,246,437,0.126,36.99,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
181,SN,0.046,192.0826,192.1286,-48.9,290,255,474,0.148,31.9,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
182,nf,0.044,192.2706,192.3146,-54.18,154,154,327,0.116,30.94,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
183,nf,0.048,192.868,192.916,-52.6,93,93,274,0.119,36.55,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
184,nf,0.0353,193.5633,193.5986,-50.32,116,105,272,0.128,30.85,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
185,SN,0.03,193.8366,193.8666,-51.45,691,532,902,0.143,33.56,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
186,SN,0.0406,193.9406,193.9813,-50.49,440,415,691,0.134,30.14,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
187,nf,0.1153,194.2453,194.3606,-51.92,159,140,337,0.115,29.36,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
188,nf,0.3246,195.9533,196.278,-51.29,96,96,231,0.097,23.33,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
189,nf,0.0486,196.3393,196.388,-49.67,214,203,359,0.109,27.66,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
190,nf,0.0306,196.5086,196.5393,-53.03,93,93,275,0.098,24.7,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
191,nf,0.0526,196.7186,196.7713,-53.39,93,93,264,0.106,30.06,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
192,nf,0.1686,197.102,197.2706,-50.48,100,96,234,0.097,25.9,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
193,SN,0.0306,197.3766,197.4073,-46.39,365,262,554,0.158,31.38,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
194,SN,0.0453,199.8106,199.856,-47.88,615,609,891,0.164,32.53,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
195,SN,0.0433,199.932,199.9753,-47.18,646,639,896,0.153,32.75,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
196,nf,0.1513,200.5566,200.708,-49.57,101,101,247,0.108,27.75,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
197,nf,0.146,202.9273,203.0733,-51.89,152,138,348,0.117,25.78,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
198,SN,0.0953,203.7046,203.8,-50.46,387,343,625,0.139,30.24,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
199,SN,0.042,203.87,203.912,-48.76,621,599,905,0.158,27.22,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
200,*SN,0.0373,204.0266,204.064,-57.52,251,231,534,0.182,31.83,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
201,nf,0.254,206.2573,206.5113,-51.71,96,96,257,0.105,25.76,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
202,SN,0.0486,207.5033,207.552,-50.4,93,93,258,0.131,29.45,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
203,SN,0.0386,207.6066,207.6453,-47.57,592,564,777,0.159,31.33,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
204,SN,0.0406,207.7046,207.7453,-46.36,692,690,922,0.141,33.34,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
205,SN,0.04,207.8473,207.8873,-44.17,606,575,823,0.142,34.08,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
206,nf,0.28,208.4493,208.7293,-50.97,108,98,277,0.108,28.2,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
207,nf,0.1773,209.1986,209.376,-49.84,96,96,301,0.106,32.91,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
208,nf,0.2086,210.05,210.2586,-52.84,93,93,300,0.121,29.26,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
209,nf,0.2133,210.594,210.8073,-54.35,124,112,372,0.122,25.4,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
210,nf,0.0306,211.4853,211.516,-53.39,221,227,484,0.142,27.77,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
211,nf,0.1066,211.8733,211.98,-52.34,101,101,297,0.125,29.23,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
212,SN,0.0573,212.9346,212.992,-51.06,404,368,597,0.139,31.22,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
213,SN,0.044,213.0346,213.0786,-48.46,651,614,856,0.163,29.55,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
214,nf,0.2446,213.862,214.1066,-52.82,216,180,372,0.138,29.05,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
215,nf,0.5833,214.498,215.0813,-50.33,118,113,250,0.107,27.61,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
216,nf,0.7533,215.6699,216.4233,-51.06,162,147,322,0.123,29.47,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
217,nf,0.4853,216.544,217.0293,-51.03,137,130,305,0.12,29.25,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
218,nf,0.254,217.284,217.538,-50.38,204,198,365,0.13,29.28,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
219,nf,0.2886,218.2519,218.5406,-50.67,97,97,284,0.115,28.55,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
220,nf,0.12,219.7673,219.8873,-50.65,152,140,341,0.137,30.19,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
221,nf,0.1513,221.0406,221.192,-49.97,188,181,367,0.128,30.64,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
222,nf,0.146,221.594,221.74,-48.93,154,126,339,0.125,30.2,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
223,nf,0.044,222.5833,222.6273,-50,93,93,270,0.121,31.56,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
224,nf,0.1553,223.484,223.6393,-49.79,97,97,268,0.11,29.58,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
225,nf,0.254,223.894,224.148,-47.63,105,96,284,0.114,31.04,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
226,nf,0.186,224.55,224.736,-38.94,111,107,271,0.1,30.87,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
227,nf,0.16,225.606,225.766,-47.58,101,101,278,0.105,28.85,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
228,nf,0.1553,226.0433,226.1986,-46.72,98,98,235,0.107,26.43,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
229,SN,0.044,226.4173,226.4613,-47.48,93,93,270,0.092,28.16,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
230,SN,0.0793,226.498,226.5773,-48.13,112,93,307,0.141,29.36,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
231,nf,0.3206,226.768,227.0886,-48.3,102,102,282,0.111,27.49,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
232,nf,0.2086,227.2006,227.4093,-48.3,101,101,286,0.107,32.01,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
233,nf,0.164,227.5753,227.7393,-47.55,105,102,263,0.125,27.88,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
234,nf,0.2446,228.0566,228.3013,-47.99,144,144,322,0.103,28.12,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
235,SN,0.0573,229.3406,229.398,-52.68,126,108,361,0.163,32.15,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
236,SN,0.0486,229.434,229.4826,-46.85,93,93,267,0.129,32.38,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
237,SN,0.044,229.5319,229.576,-49.13,157,130,397,0.152,32.75,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
238,nf,0.3286,230.3753,230.704,-49.34,114,100,330,0.138,29.15,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
239,nf,0.0173,233.2266,233.244,-50.5,93,93,326,0.15,28.98,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
240,nf,0.044,233.5386,233.5826,-49.86,244,203,456,0.135,30.2,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
241,SN,0.044,234.6213,234.6653,-44.87,97,98,272,0.101,32.2,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
242,SN,0.0393,234.6926,234.732,-55.06,287,175,510,0.184,33.21,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
243,SN,0.044,234.8133,234.8573,-49.88,148,155,463,0.148,29.68,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\230619_Whiskers\1004.WAV
